,Navn,Latitude,Longitude,Lufttemperatur
249,SUNNDALSØRA III,62.6785,8.5473,[1.5 1.  1.  ... 0.7 1.1 0.9]
250,DOMBÅS - NORDIGARD,62.07165,9.1147,[-4.3 -4.3 -4.4 ... -5.  -5.2 -5.9]
251,ANESTØLEN,61.3648,6.9077,[-2.6 -2.2 -3.2 ...  0.   0.   0. ]
252,ALVDAL,62.1093,10.6268,[-11.1 -11.5  -8.9 ...  -7.2  -7.8  -8.9]
253,HOPEN,76.5097,25.0133,[-12.4 -12.2 -12.1 ...  -0.4  -0.2  -0.2]
254,HORTEN - NYKIRKE,59.4283,10.3847,[-3.4 -2.5 -2.6 ... -5.  -5.6 -5.8]
255,KVAMSØY,60.3632,6.2805,[6.6 6.4 5.8 ... 1.6 1.9 1.4]
256,ÅS - RUSTADSKOGEN,59.6704,10.8104,[-2.4 -4.7 -4.7 ... -3.7 -3.7  0. ]
257,EIGERØYA,58.43517,5.87183,[5.5 5.  5.1 ... 2.4 2.1 1.5]
258,PASVIK - SVANVIK,69.4552,30.041,[-19.9 -19.7 -20.2 ...  -2.6  -2.8  -3. ]
259,RIHPOJAVRI,69.2235,20.5795,[-7.3 -7.  -6.5 ... -4.5 -4.4 -4.1]
260,TYNSET - HANSMOEN,62.2695,10.732,[-14.2 -15.  -11.6 ... -11.9 -13.1 -14.4]
261,ROALDSHORNET,62.3065,6.849,[-5.2 -5.2 -5.7 ... -9.  -8.8 -9. ]
262,KIRKENES LUFTHAVN,69.7287,29.9057,[-4.1 -4.5 -4.8 ... -4.3 -4.5 -4.5]
263,MYKEN,66.7628,12.486,[0.9 0.8 0.7 ... 3.5 2.4 2. ]
264,AKSELØYA,77.6873,14.7578,[-10.4 -10.4 -10.1 ...  -0.2   0.5   0.3]
265,NAMSOS LUFTHAVN,64.4708,11.5705,[-1.  -1.  -1.8 ...  0.2  1.  -0.4]
266,NARVIK SENTRUM,68.4372,17.4212,[-7.6 -6.8 -6.8 ...  0.3  1.2  2.4]
267,MAJAVATN V,65.1662,13.3667,[-5.4 -6.1 -6.7 ... -2.7 -3.  -2.9]
268,HAUKEDAL,61.4202,6.3758,[-2.3 -3.4 -3.8 ... -2.9 -3.3 -3.9]
269,LIARVATN,59.0512,6.1212,[ 4.1  3.8  3.  ...  0.3  0.  -0.8]
270,ØSTRE TOTEN - APELSVOLL,60.7002,10.8695,[-3.1 -4.6 -5.7 ... -3.1 -2.  -1.7]
271,REINHAUGEN,70.3357,28.9648,[-9.4 -8.7 -8.9 ... -6.  -5.7 -5.9]
272,LANDVIK,58.34,8.5225,[-0.2 -1.1 -1.4 ... -1.3 -1.2  0. ]
273,JUVFLYE - MIMISBRUNNR KLIMAPARK,61.674,8.3685,[-13.9 -15.7 -17.9 ... -12.4 -12.9 -13.8]
274,BERGEN - FLORIDA UIB,60.3837,5.332,[2.8 3.  2.6 ... 0.5 0.7 0.1]
275,MERÅKER - VARDETUN,63.41129,11.7279,[ 0.6  0.1 -0.2 ... -0.1 -0.6 -0.6]
276,BRUSDALEN,62.4848,6.4797,[-1.7 -2.3 -2.6 ... -0.8  0.1 -0.2]
277,GROTLI III,62.0162,7.6637,[ -7.6 -12.3 -13.6 ...  -7.1  -7.   -7.4]
278,HAKADAL JERNBANESTASJON,60.1173,10.829,[-6.  -4.7 -6.2 ... -3.7 -4.1 -4.3]
279,ORKDAL - THAMSHAMN,63.3153,9.8495,[ 0.5  0.4  0.2 ... -0.9 -0.8 -0.9]
280,STRENGEN,59.9958,8.3755,[ 0.   0.  -0.7 ...  0.   0.   0. ]
281,KVITØYA,80.1035,31.4585,[-16.8 -16.1 -16.6 ...  -1.8  -1.5  -1.5]
282,OKSØY FYR,58.0732,8.0532,[4.5 4.5 3.8 ... 3.1 2.8 2.6]
283,FAKKEN,70.10426,20.11451,[0.  0.3 0.1 ... 1.7 1.7 2.4]
284,NJØS,61.1792,6.8608,[3.5 2.9 2.4 ... 1.7 2.  1.5]
285,VEGA - VALLSJØ,65.7017,11.8562,[-0.3 -0.6 -1.1 ...  1.   2.   2.2]
286,TINNOSDAMMEN,59.7238,9.0245,[-5.1 -5.  -4.9 ...  0.   0.   0. ]
287,LURØY,66.3892,13.1848,[-8.8 -8.6 -8.4 ...  1.5  0.5  1.5]
288,KLAUVA,78.3002,18.2248,[-16.2 -15.6 -17.2 ...  -4.3  -4.4  -3.8]
289,LÆRDAL IV,61.1033,7.5025,[ 1.5  1.4  1.  ...  1.3  0.3 -0.2]
290,BRUNKOLLEN,59.9682,10.5472,[0.2 0.3 0.2 ... 0.  0.  0. ]
291,OPPDAL - MAURHAUGEN,62.6597,9.8203,[-4.5 -4.3 -4.  ... -5.5 -5.9 -6.7]
292,RØLDALSFJELLET,59.8315,6.733,[-0.1 -0.4 -1.1 ... -5.6 -6.1 -6.3]
293,MUREN,59.9603,10.5357,[-0.8 -0.9 -1.  ...  0.   0.   0. ]
294,BERLEVÅG LUFTHAVN,70.8731483,29.0423967,[-0.3 -0.2 -0.3 ... -1.3 -1.3 -1.4]
295,ETNE II,59.6625,5.9538,[ 2.2  2.7  2.2 ...  0.4  0.3 -0.6]
296,SIHCCAJAVRI,68.7559654,23.5395347,[-13.1 -15.3 -13.7 ...  -5.1  -5.1  -5.3]
297,HAUKELISETER TESTFELT,59.8118,7.2143,[ 0.1  0.  -0.5 ... -6.8 -5.6 -6.4]
298,SIRDAL - SINNES,58.923,6.9097,[ 3.2  2.8  2.6 ... -4.5 -6.1 -7.8]
299,RENA FLYPLASS,61.1847,11.3747,[-14.4 -14.4 -16.  ...  -5.6  -6.   -3.8]
300,JØLSTER - KVAMSFJELLET,61.4573,6.096,[-4.  -4.2 -4.5 ... -7.3 -7.5  0. ]
301,ARNØYA - TROLLTINDEN,70.075,20.431,[-8.5 -8.5 -8.4 ...  0.   0.   0. ]
302,OSLO - SOFIENBERG,59.919,10.7623,[-0.8 -1.2 -1.4 ...  0.2 -1.  -0.9]
303,GVARV - NES,59.3822,9.2128,[-7.4 -7.2 -7.1 ... -2.4 -2.4 -2.6]
304,MOLDE - HINDALSRØRA,62.756,7.2088,[-2.1 -3.  -2.2 ... -2.3 -1.8 -2.2]
305,GULLFJELLET,60.3828,5.542,[ 0.9 -0.6 -0.9 ... -2.  -3.9 -4.5]
306,HEKKINGEN FYR,69.6005,17.83117,[ 0.1  0.3 -0.4 ...  0.9  0.7  1.2]
307,HELLIGVÆR II,67.4048,13.8958,[-0.4 -0.5 -0.5 ...  3.5  2.5  2.9]
308,TRYSIL - NORDRE KANKEN,61.3188,12.1887,[-5.2 -5.6 -5.5 ... -5.6 -5.7 -5.6]
309,TIME - LYE,58.7345,5.7262,[4.9 4.5 4.4 ... 0.3 0.  0. ]
310,VÅGSLI,59.7662,7.3653,[ 0.9  0.4  0.2 ... -3.9 -4.9 -7.6]
311,TÅGDALEN,63.0493,9.0878,[-1.6 -1.5 -1.5 ... -3.6 -3.7 -3.5]
312,FINNESVATNET,70.2467,30.368,[7.2 6.9 7.  ... 0.  0.  0. ]
313,VARDØ RADIO,70.3707,31.0962,[-0.2 -0.5 -1.  ... -1.5 -0.9 -1.1]
314,ALTA LUFTHAVN,69.9775,23.3582,[-8.3 -2.2 -2.9 ... -2.4 -1.9 -1.7]
315,GRAN,60.3558,10.5592,[-6.9 -7.3 -7.6 ... -2.8 -4.6 -5.1]
316,STOKMARKNES LH - SKAGEN,68.5801001,15.0289351,[ -6.5 -11.5  -6.1 ...   3.3   1.5   2.6]
317,RØLDAL KRAFTVERK,59.8222,6.818,[0.8 0.4 0.  ... 0.  0.  0. ]
318,SKJETLEIN,63.3403,10.2973,[-0.1 -0.8 -1.  ... -1.2 -0.6 -0.9]
319,KRÅKENES,62.034,4.9865,[4.7 4.4 3.6 ... 1.8 1.5 1.5]
320,HØNEFOSS - HVERVEN,60.14033,10.26617,[-7.1 -5.6 -5.4 ... -1.4 -2.5 -3.3]
321,FARKOLLEN,69.8043,28.9937,[9.6 9.9 9.7 ... 0.  0.  0. ]
322,HALTEN FYR,64.1727,9.4052,[3.  3.2 3.2 ... 1.3 1.6 2.2]
323,OSLO - BLINDERN PLU,59.9423,10.7202,[-0.5 -0.7 -0.9 ...  0.5  0.  -0.5]
324,RÅDE - TOMB,59.3188,10.8145,[-6.  -3.7 -4.5 ... -1.8 -2.6 -2.5]
325,ÅRNES,60.1268,11.3933,[-6.3 -7.7 -8.9 ... -1.1 -3.1 -3.4]
326,FAGERNES,60.9785,9.224,[ -6.8  -7.   -7.6 ...  -7.9  -9.8 -11.6]
327,KJEVIK,58.2,8.0767,[ 0.8  0.4  0.  ... -2.  -1.6 -1.8]
328,JAN MAYEN,70.9394,-8.669,[ -7.8  -8.8  -9.  ...  -9.9 -10.1 -10.5]
329,ANDØYA - TROLLTINDEN,69.2413,16.003,[-4.1 -4.2 -4.8 ... -0.9 -0.1 -0.3]
330,VARDØ LUFTHAVN,70.3512896,31.0502314,[-1.1 -1.6 -1.6 ... -1.4 -0.8 -0.9]
331,LILLEHAMMER - RÅDHUSET,61.1145,10.4675,[-4.7 -5.8 -6.1 ... -2.5 -3.8 -4.6]
332,SALTDAL - NORDNES,66.9368,15.3155,[-14.3 -15.2 -15.5 ...  -0.8  -0.9  -1.6]
333,GRIMSE,62.063,9.9907,[-12.  -13.4 -15.5 ...  -7.4  -7.3  -6.9]
334,VÆRØY HELIPORT,67.6527,12.7228,[1.1 1.1 1.  ... 2.7 3.1 2.4]
335,STORGAMA,59.0523,8.6537,[-3.7 -3.5 -2.6 ... -1.4 -1.8 -1.8]
336,KAFFIØYRA,78.6568,11.9263,[-11.1 -10.8 -11.3 ...   1.3   1.6   1.8]
337,REKDAL,62.6512,6.7552,[ 0.9  0.9  0.3 ...  0.9  0.9 -0.7]
338,GEITHUS,59.9202,9.9728,[-6.6 -6.6 -6.4 ... -1.8 -2.2 -2.7]
339,RAKKESTAD,59.3882,11.3905,[-1.7 -2.3 -3.  ... -1.5 -1.9 -2.2]
340,TØNSBERG - EIK,59.2937,10.4275,[-2.4 -1.6 -1.8 ... -1.5 -2.2 -2.2]
341,DRAMMEN - SLETTA,59.7445,10.2312,[16.8 17.3 19.5 ...  0.   0.   0. ]
342,HØNEFOSS - HØYBY,60.1665,10.2478,[-3.4 -5.7 -4.5 ... -1.8 -3.3 -3. ]
343,BANAK,70.06,24.9793,[-11.9 -11.3 -12.  ...  -2.4  -2.2  -2.1]
344,MARISTOVA,61.1098838,8.0368593,[-2.8 -5.  -5.5 ... -4.2 -5.2 -4.5]
345,SETSÅ,67.1658,15.4857,[-12.7 -11.6 -13.  ...   2.4   1.9   1.6]
346,FJÆRLAND - BREMUSEET,61.4233,6.7642,[-1.5 -4.5 -4.8 ...  0.3 -0.6 -1. ]
347,SLETTNES FYR,71.0888,28.217,[-0.2 -0.2 -0.1 ... -0.9 -0.7 -0.9]
348,FÅVANG,61.4582,10.1872,[ -9.8 -10.6 -11.  ...  -5.2  -3.9  -4.8]
349,SØMNA - KVALØYFJELLET,65.2193,11.9928,[-2.9 -3.3 -3.4 ... -1.8 -1.3 -1.8]
350,TOFTE - RULLETO,59.5513,10.5813,[ 0.2  0.1  0.4 ... -0.2  0.  -0.9]
351,SJUFJELLET,69.1025,19.5442,[-13.1 -13.5 -13.5 ...   0.    0.    0. ]
352,FLESLAND,60.2892,5.2265,[ 2.4  1.5 -0.2 ...  0.2  0.1 -0.4]
353,FROSTA,63.5652,10.6932,[ 0.3  0.   0.3 ... -0.3 -0.1 -0.6]
354,ISKORAS II,69.3003,25.346,[-11.7 -10.7 -11.1 ...  -6.6  -6.6  -6.6]
355,TØNSBERG - BARKÅKER,59.3173,10.3957,[-4.5 -3.9 -4.  ... -2.9 -3.2  0. ]
356,BRØNNØYSUND LUFTHAVN,65.46072,12.21959,[-2.  -2.5 -2.3 ...  2.1  1.6  1.2]
357,GRØNNING,62.3290022,7.5139775,[10.6 10.2 10.  ...  0.   0.   0. ]
358,LILLEHAMMER - BJØRNERUD,61.1478,10.4548,[-2.5 -3.4 -4.5 ... -3.4 -4.5 -4.8]
359,GEILO - OLDEBRÅTEN,60.5299,8.1951,[ 0.1 -2.5 -3.2 ... -5.7 -6.8 -9.5]
360,LEIRFLATEN,61.72459,9.15424,[ -8.8 -12.2 -13.1 ... -13.8 -15.5 -17.4]
361,DIVIDALEN II,68.78167,19.70167,[-17.8 -16.  -18.3 ...  -1.1  -1.4  -1.4]
362,GJEMNES - REINSFJELLET,62.93,7.925,[-4.4 -4.1 -4.  ... -7.3 -7.2 -7.5]
363,NYRUD,69.14757,29.2427215,[-22.1 -22.7 -22.5 ...  -2.8  -2.7  -2.9]
364,MEHAMN LUFTHAVN,71.033,27.8298,[-3.6 -0.9 -2.8 ... -1.4 -1.3 -1.5]
365,KATTERAT,68.3995,17.966,[-9.  -8.6 -8.8 ... -1.8 -2.1 -0.9]
366,HJERKINN II,62.2207,9.5423,[-7.8 -6.9 -7.  ... -7.2 -7.2 -7. ]
367,FET I EIDFJORD,60.4080734,7.2803489,[ 1.6  1.5  1.6 ... -4.2 -3.7 -4.1]
368,NØTTERØY - BORGHEIM,59.2173,10.4103,[-6.1 -4.9 -5.4 ... -1.   1.3 -0.8]
369,EVENES LUFTHAVN,68.4912,16.6833,[-5.9 -4.3 -3.4 ...  1.5  2.7  2.9]
370,BALESTRAND - BALE,61.2028,6.5285,[ 2.9  2.4  1.8 ...  0.5 -0.4  0.7]
371,YLJA KRAFTVERK,61.1973,8.3807,[ 0.7 -0.1 -3.  ... -4.3 -3.7 -4.2]
372,KARL XII-ØYA,80.6518,25.0048,[-15.7 -15.4 -15.4 ...  -0.9  -0.9  -1. ]
373,LYSEBOTN,59.0552,6.6467,[7.4 6.7 6.5 ... 2.2 2.1 1.3]
374,NØTTERØY - FØYNLAND,59.23662,10.45604,[-4.  -4.4 -3.7 ... -1.3 -0.8 -1.5]
375,TROMSØ - LANGNES,69.6767,18.9133,[-4.9 -5.5 -3.4 ...  1.2  1.   0.2]
376,KONGSØYA,78.918,28.834,[-21.9 -20.7 -20.8 ...  -1.3  -1.   -0.9]
377,TJØTTA,65.8295,12.4255,[-3.2 -4.4 -4.5 ...  1.5  1.1  2.1]
378,KAPPFJELLET,65.3143,13.4483,[ -9.6 -10.1 -10.5 ...  -6.1  -6.3   0. ]
379,BØ I VESTERÅLEN III,68.6072,14.4347,[-2.9 -2.7 -3.1 ...  3.9  2.3  3.7]
380,UTSIRA FYR,59.3065,4.8723,[5.5 4.9 4.9 ... 2.  1.6 1.8]
381,YTTERØYANE FYR,61.5717,4.6817,[4.9 5.  5.  ... 3.1 3.1 0. ]
382,KANSTADBOTN,68.516989,15.8768608,[ -8.4  -8.9 -12.5 ...   0.6   0.7   1.5]
383,VARNTRESK,65.8255,14.1942,[ -8.1  -9.3 -10.7 ...  -1.8  -2.3  -3.3]
384,GULLHOLMEN,59.4352,10.578,[-0.9 -0.6  0.2 ...  2.3  1.4  1.2]
385,ÅNSTADBLÅHEIA,68.7183,15.3112,[-6.6 -6.8 -6.1 ... -1.5 -1.9 -2.1]
386,FOLGEFONNA SKISENTER,60.2263,6.4347,[-1.  -1.7 -2.5 ... -7.1 -7.2 -7.2]
387,HANSBU,60.0825,7.4247,[-0.5 -1.3 -2.5 ...  0.   0.   0. ]
388,KONGSVINGER,60.1903,12.0067,[-5.2 -6.2 -6.6 ... -2.2 -2.7 -2.8]
389,LANGFJORDJØKELEN,70.1227,21.7223,[-9.5 -9.7 -9.3 ... -8.5 -8.6 -8.6]
390,HONNINGSVÅG LUFTHAVN,71.0105,25.9782,[-2.6 -2.7 -1.5 ... -1.  -1.2 -1.2]
391,RØRVIK LUFTHAVN,64.835,11.1408,[-0.9 -1.6 -2.6 ...  0.1  0.   0.2]
392,SÆTERTINDEN VED TJELDSUNDET,68.5863,16.3608,[-11.1 -11.1 -11.1 ...   0.    0.    0. ]
393,FON,59.4173,10.2087,[13.3 13.3 13.  ...  0.   0.   0. ]
394,RENA - ØRNHAUGEN,61.37635,11.49939,[-4.3 -5.  -5.9 ... -5.5 -6.4 -6.8]
395,LOSISTUA,68.1905,17.7905,[-11.8 -10.9  -9.9 ...  -3.2  -2.7  -3.1]
396,SOKNEDAL,62.9535,10.1788,[-0.5 -1.  -0.8 ... -1.9 -1.2 -1.5]
397,LINGE,62.288,7.2173,[ 0.1  0.  -0.1 ...  1.3  1.2  0.8]
398,ODDA - JORDAL,60.0447,6.5395,[3.7 3.7 2.7 ... 1.3 0.7 0.8]
399,OSLO - LJABRUVEIEN,59.8427,10.8237,[21.1 20.9 20.2 ...  0.   0.   0. ]
400,MJØNDALEN - ORKIDEHØGDA,59.7498,10.0275,[-6.6 -5.8 -5.5 ... -2.6 -3.4 -3.6]
401,DREVSJØ,61.887,12.0462,[-8.9 -9.4 -9.3 ... -4.1 -4.3 -5.7]
402,BODØ VI,67.2726458,14.3826294,[-8.  -9.7 -7.3 ...  2.8  2.8  2.4]
403,SÆDALEN,60.35,5.3967,[ 1.3  1.1  0.7 ... -0.4 -1.2 -0.9]
404,BJØRNHOLT,60.0514243,10.6878682,[-2.2 -2.  -2.4 ... -3.4 -4.5 -4.7]
405,MOSJØEN LUFTHAVN,65.7842,13.218,[ -8.4  -9.5 -10.4 ...   1.    0.2   0.2]
406,KISTEFJELL,69.2897,18.1288,[-10.7 -10.4 -10.2 ...   0.    0.    0. ]
407,ONA II,62.8585,6.5378,[3.7 3.1 3.4 ... 3.  0.8 2.1]
408,NAMSSKOGAN,64.7422,12.846,[-3.7 -3.7 -3.9 ... -0.8 -1.8 -2.2]
409,FINSEVATN,60.5938,7.527,[-1.9 -2.2 -2.9 ...  0.   0.   0. ]
410,STORFORSHEI,66.3962,14.53,[-15.8 -17.9 -18.3 ...  -0.1  -0.4  -0.5]
411,HEMSEDAL SKISENTER,60.8397,8.4968,[ -7.6  -9.1 -10.1 ... -10.2  -9.8  -9.3]
412,GARDERMOEN PLU,60.2105,11.0782,[-4.5 -5.3 -5.1 ... -2.6 -2.6 -3.2]
413,DRIVDALEN,62.4473,9.5827,[-2.3 -2.8 -2.5 ...  0.   0.   0. ]
414,NORDSTRAUM I KVÆNANGEN,69.8362,21.8958,[-1.4 -1.6 -2.8 ... -0.9 -0.8 -0.6]
415,NØTTERØY - KNARRBERG,59.2084,10.45442,[-4.  -2.9 -3.3 ... -1.4  0.6 -0.4]
416,EMBLEM,62.4317,6.4325,[ 0.  -0.1 -1.  ...  0.9  0.3  0.8]
417,FOKSTUGU,62.1133,9.2862,[-7.8 -6.6 -7.9 ... -7.7 -8.5 -9.4]
418,ÅSERAL,58.6172,7.4128,[ 1.3 -0.3 -1.7 ... -3.2 -3.7 -3.6]
419,HORTEN - SKOPPUM,59.3845,10.3985,[-2.8 -2.7 -2.6 ... -1.5 -2.2 -1.5]
420,ISTJØRNDALEN,78.0092,15.2108,[-14.8 -15.5 -15.3 ...   0.1   0.6   0.3]
421,SØRKJOSEN LUFTHAVN,69.7902,20.9524,[-1.3 -0.1 -1.2 ...  0.  -0.3 -0.4]
422,UVDAL KRAFTVERK,60.255,8.7057,[ 2.8  1.1 -0.3 ... -3.2 -3.9 -3.9]
423,KORGÅSEN,69.9363,28.3773,[10.   9.6 10.9 ...  0.   0.   0. ]
424,GAUSTATOPPEN,59.8497,8.6562,[ -9.  -10.  -12.1 ... -16.4   0.    0. ]
425,TAFJORD,62.2305,7.4218,[ 0.1 -0.4 -0.9 ...  0.5  0.  -0.1]
426,GAUSDAL - FOLLEBU,61.22651,10.26141,[-7.6 -8.2 -8.9 ... -2.7 -2.1 -4. ]
427,ÅKERNESET,62.191,6.9933,[5.2 4.5 3.7 ... 0.  0.  0. ]
428,ØVERBYGD II,69.0222,19.3537,[-15.6 -16.2 -18.  ...   0.1  -0.6  -1.3]
429,MØSSTRAND II,59.8397,8.1785,[ 0.1 -2.  -1.  ... -5.3 -5.7 -5.5]
430,LYNGEN - GJERDVASSBU,69.5588,20.094,[-8.1 -7.2 -7.2 ... -5.  -4.5 -4.3]
431,STRAUMSNES,68.432,17.662,[-7.7 -8.3 -8.6 ... -0.4 -0.4  2.3]
432,SOGNDAL LUFTHAMN,61.158,7.1413,[-0.1  0.3 -0.4 ... -2.1 -2.4 -2.3]
433,AURSKOG II,59.9118,11.5802,[-4.3 -8.3 -8.3 ... -1.2 -2.2 -3.2]
434,RISSA III,63.5858,9.9705,[-1.2 -1.1 -1.5 ... -0.3 -1.   0.8]
435,ARENDAL LUFTHAVN,58.5158,8.7028,[-0.2  0.6  0.3 ... -1.3 -1.6 -0.3]
436,OSLO - VESTLI,59.9683,10.9185,[-3.7 -4.5 -6.9 ... -4.9 -5.1  0. ]
437,ENGABREEN - SKJÆRET,66.6432,13.9298,[-13.7 -14.2 -14.8 ...   0.    0.    0. ]
438,SUOLOVUOPMI - LULIT,69.5797,23.5345,[ -9.4 -11.2  -9.8 ...  -5.3  -5.2  -5.1]
439,HOKKSUND,59.7613,9.8922,[-7.7 -6.1 -6.5 ... -5.4 -5.7 -7.7]
440,FLORØ LUFTHAMN,61.5832,5.0278,[2.8 1.2 0.2 ... 2.3 2.1 2.3]
441,TJØLLING,59.045747,10.1250557,[ 0.5 -0.7  0.6 ...  1.5  0.9  0.1]
442,SØRKAPPØYA,76.4733,16.5428,[-12.9 -12.7 -12.8 ...   0.5   0.7   0.7]
443,BUSNES,59.8103,8.9863,[4.3 2.9 1.3 ... 0.  0.  0. ]
444,HARSTAD STADION,68.8029,16.5362,[-4.3 -3.6 -3.4 ...  0.9  1.1  1.9]
445,MJØNDALEN - ÅSEN,59.7328,10.0258,[-4.7 -3.8 -5.1 ... -2.5 -2.9 -3.3]
446,GLOMFJORD - SKIHYTTA,66.8275,13.948,[-7.  -6.3 -6.8 ... -1.5 -1.7 -1.9]
447,MORTENHALSSKOLTEN,69.4229,18.6208,[-8.9 -8.8 -8.2 ... -6.  -5.8 -4.8]
448,VEGGLI II,60.0435,9.1468,[-2.3 -0.8 -2.2 ... -2.9 -3.5 -4.1]
449,FISTER - SIGMUNDSTAD,59.16,6.0365,[5.8 5.6 5.7 ... 2.1 1.1 0.5]
450,MÅR - SYNKEN,60.1,8.2667,[-0.9 -1.8 -3.1 ...  0.   0.   0. ]
451,SKURDEVIKÅI,60.3778,7.5693,[-4.8 -6.6 -9.3 ...  0.   0.   0. ]
452,KRISTIANSAND - SØMSKLEIVA,58.1502,8.052,[4.1 2.5 2.1 ... 0.  0.  0. ]
453,ASKIM - KYKKELSRUD,59.5873,11.0962,[-3.4 -4.1 -4.7 ... -2.4 -2.6 -2.9]
454,BERGEBYDALEN,70.227,28.9563,[-6.  -5.7 -5.4 ... -3.5 -3.3 -3.4]
455,RØVÆR,59.4382,5.078,[5.7 5.6 5.6 ... 1.7 1.7 1.5]
456,OSLO - HOVIN,59.923,10.804,[-1.8 -1.8 -2.3 ... -1.7  0.   0. ]
457,BERGELIGREND,59.8861,9.058,[-2.2  0.1  0.1 ...  0.   0.   0. ]
458,NØTTERØY - TENVIK,59.1745,10.3655,[-5.3 -2.6 -1.4 ... -1.4 -1.3 -1. ]
459,LILLEHAMMER - NORDSETERVEGEN HØYDEBASSENG,61.1431,10.5143,[-4.6 -6.6 -7.9 ... -5.6 -7.3 -8.3]
460,LØNSDAL STASJON,66.7435,15.4628,[-11.4 -11.2 -11.7 ...  -1.5  -1.9  -2.6]
461,TVEITSUND,59.0257,8.5187,[ 0.4 -1.4 -1.9 ... -3.4 -3.7 -3.5]
462,SULA,63.8429,8.4543,[3.2 3.  2.9 ... 1.3 1.9 0.7]
463,NØTTERØY - TORØD,59.169,10.4238,[-2.1 -1.9 -1.6 ... -2.  -2.1 -0.3]
464,GULLINGEN SKISENTER,59.4128,6.4697,[ 1.7  1.5  0.8 ... -2.6 -4.3 -4.3]
465,SAUPSTAD,63.3628,10.3597,[-0.3 -0.6 -1.1 ... -1.6 -1.5 -1.8]
466,SKOTSELV,59.8387,9.8948,[-7.6 -8.1 -7.5 ...  0.   0.   0. ]
467,HORNINDAL,62.0033,6.6502,[-4.  -3.5 -4.1 ... -3.8 -4.6 -3.5]
468,SÆRHEIM,58.7605,5.6508,[5.  4.9 4.9 ... 1.1 0.7 0.3]
469,SPØRTEGGBU,61.5972,7.3892,[ -8.4  -8.2  -8.6 ... -11.2 -11.8   0. ]
470,LINDESNES FYR,57.9815,7.048,[5.2 5.2 4.7 ... 4.9 4.3 3.7]
471,ASKIM II,59.5872,11.1662,[-3.5 -4.7 -6.1 ... -3.3 -3.5 -4.3]
472,SENJA - MEDBY,69.2805,17.0715,[5.7 5.9 5.7 ... 0.  0.  0. ]
473,LEBESBY - KARLMYHR,70.58117,26.998,[-3.  -4.  -3.2 ...  0.   0.   0. ]
474,MAKKAUR FYR,70.7057,30.07,[ 0.2  0.3  0.4 ... -1.7 -1.9 -1.5]
475,VANGSNES,61.1724,6.6452,[4.2 2.7 2.3 ... 1.9 1.4 1.5]
476,TYSSEDAL V,60.1173,6.5742,[5.1 4.5 2.5 ... 0.5 0.5 0.5]
477,MÅSVIK,69.9903,18.6938,[-0.2 -0.4 -1.  ...  2.3  2.3  1.2]
478,KOMMAGDALEN,70.2932,30.1908,[7.1 6.6 6.7 ... 0.  0.  0. ]
479,STEINKJER - SØNDRE EGGE,64.0217,11.4493,[-1.5 -2.5 -3.6 ...  0.5  0.1 -0.3]
480,BJØRNØYA,74.5035,18.998,[-6.3 -4.7 -4.7 ...  1.7  2.   1.7]
481,SOLA,58.8843,5.637,[4.5 5.3 4.8 ... 1.8 0.9 0. ]
482,SVELVIK - BOKERØYA,59.591,10.4053,[-4.3 -4.1 -3.4 ... -1.2 -1.7 -3. ]
483,REVETAL,59.371,10.2692,[13.9 14.  13.6 ...  0.   0.   0. ]
484,TROMSØ - HOLT,69.6538,18.9095,[-4.7 -4.1 -2.8 ...  1.3  0.9  0.2]
485,VALNESFJORD,67.2764164,15.1018235,[ -9.  -10.8 -10.4 ...   2.3   1.1   1.7]
486,MÆRE III,63.9425,11.4255,[-0.2 -1.  -1.5 ... -1.1 -0.7 -1.6]
487,ØRLAND III,63.7044,9.6104,[ 2.1  1.5 -1.5 ...  0.1  0.8  0.6]
488,SELJELIA,66.1317,13.5867,[ -9.5 -10.2 -11.1 ...   0.   -0.8  -0.6]
489,SIRDAL - SMØLEHEIKNUDEN,58.9112,6.8112,[ 0.3  0.2  0.1 ... -4.  -4.3 -4.7]
490,DOVRE-LANNEM,62.0172,9.2143,[-4.  -4.7 -6.  ... -4.5 -4.1 -5.8]
491,FRØYSTUL,59.8247,8.3477,[ 1.1  0.7 -2.4 ...  0.   0.   0. ]
492,FOLLDAL - FREDHEIM,62.1282,9.9947,[-15.5 -15.1 -13.8 ...  -5.9  -7.5  -8.1]
493,LYNGØR FYR,58.6362,9.1478,[3.7 3.5 3.5 ... 2.1 1.7 1.4]
494,HUBEHYTTA,70.3222,30.0648,[7.  6.7 6.3 ... 0.  0.  0. ]
495,FRUHOLMEN FYR,71.0937,23.9817,[-0.2 -1.1 -2.8 ...  0.   0.   0. ]
496,FLISA II,60.6142,12.0125,[-8.1 -8.8 -9.3 ... -1.3 -1.2 -0.9]
497,BJØRNFJELL,68.4323,18.0767,[-7.8 -7.7 -9.8 ... -3.1 -3.1 -1.5]
498,RANHEIM,63.4268,10.515,[ 1.9  1.3  0.4 ... -0.5 -0.8 -0.8]
499,VIGRA,62.5617,6.115,[ 0.8  0.7 -0.2 ...  1.6  0.2  0.2]
500,BUHOLMRÅSA FYR,64.4013,10.455,[3.1 2.4 1.1 ... 2.5 1.7 3.1]
501,SANDE - LAUVKOLLMYR,59.6469,10.104,[-2.5 -1.8 -3.  ... -7.5 -9.  -9.2]
