,Navn,Latitude,Longitude,Lufttemperatur
93,NORDØYAN FYR,64.7977,10.5493,[2.1 1.8 1.5 ... 1.2 0.8 2. ]
94,TROMSDALEN,69.6508,19.0065,[-5.5 -6.4 -4.8 ...  1.9  1.3  0.9]
95,BYKLE - KULTRAN,59.3505771,7.3439563,[ 3.5  2.9 -0.4 ... -3.4 -5.5 -6.4]
96,MO I RANA LUFTHAVN,66.3643,14.3015,[-13.5 -14.2 -15.4 ...  -0.3   0.1  -0.5]
97,TØNSBERG - TARANRØD,59.2938,10.2983,[-7.4 -5.7 -6.1 ... -1.1 -1.4 -1.7]
98,FOLGEFONNA SKISENTER TOPP,60.2178,6.4298,[-1.7 -2.2 -3.  ... -7.4 -7.9 -8. ]
99,TJØME,59.1205,10.398,[-1.2  0.2  0.2 ... -1.3 -2.1 -1.2]
100,FØRDE LH - BRINGELAND,61.391,5.76,[ 0.   0.3  0.6 ... -2.9 -3.6 -4.5]
101,SVERRESBORG,63.4223,10.3498,[ 0.6 -0.7 -1.2 ... -1.5 -1.8 -1.7]
102,BÅTSFJORD - STRAUMSNESAKSLA,70.6036315,29.6990634,[-3.7 -3.6 -3.4 ... -3.1 -3.3 -3.5]
103,KONGSBERG BRANNSTASJON,59.6247,9.6377,[-6.  -4.8 -5.2 ... -3.8 -4.1 -4.7]
104,PORSGRUNN - ÅS,59.0872,9.6603,[-3.9 -4.  -3.8 ...  0.  -0.6 -1.4]
105,JOSTEDALEN - MJØLVERSGRENDI,61.6595,7.2762,[ 0.6 -0.3 -0.5 ... -0.9 -1.5 -2.5]
106,NOTODDEN LUFTHAVN,59.5666,9.2111,[-7.1 -8.5 -8.2 ... -5.1 -5.6 -6.1]
107,SKIBOTN II,69.3875,20.2823,[-8.4 -7.7 -7.6 ...  0.6  0.1 -0.4]
108,KVITSØY - NORDBØ,59.0705,5.4122,[6.  5.6 5.9 ... 2.2 2.3 2.7]
109,KRISTIANSUND LUFTHAVN,63.1093,7.8158,[1.1 2.1 1.7 ... 1.4 1.5 0.7]
110,GROSET,59.8358,8.315,[  0.4   0.   -0.9 ...  -9.5 -10.2 -10.7]
111,NESBYEN - TODOKK,60.5669244,9.1323323,[-7.6 -8.2 -9.  ... -5.3 -7.1 -7.6]
112,TROLLHEIMEN - STORHORNET,62.6352,9.392,[ -8.3  -8.1  -8.3 ... -11.2 -12.4 -11.8]
113,BLÅSJØ,59.3335,6.8817,[-0.8 -0.7 -1.1 ... -5.4 -6.5 -6.8]
114,LYNGEN - GJERDELVDALEN,69.5598,20.1518,[-7.  -6.9 -6.8 ... -5.1 -5.3 -4.6]
115,SJUSJØEN - STORÅSEN,61.1638,10.7088,[-4.7 -5.  -5.1 ... -6.  -6.7 -6.8]
116,SKREDDERDALEN,60.404,5.3358,[ 0.3  0.  -0.2 ... -0.8 -1.  -1.5]
117,ÅS,59.6605,10.7818,[13.5 14.8 13.3 ...  0.   0.   0. ]
118,TØNSBERG - VALLØ,59.2625,10.4985,[-1.7 -2.1 -1.1 ...  0.2 -0.1 -0.9]
119,GVARV - NES BIOFORSK,59.3822,9.2118,[-8.3 -8.2 -8.2 ... -2.7 -3.4 -3.5]
120,KONNERUD,59.713,10.146,[-2.1 -3.  -4.7 ... -6.  -6.4 -6.7]
121,KVAMSKOGEN - JONSHØGDI,60.3889174,5.9636631,[ 2.3  1.5  0.4 ... -2.6 -3.2 -3.6]
122,ROTVÆR,68.368,15.943,[-2.2 -1.5 -2.2 ...  2.8  4.2  3.9]
123,VOSSAVANGEN,60.6252,6.4265,[1.5 0.8 0.1 ... 0.3 0.3 0. ]
124,LILLEHAMMER - VÅRSÆTERGRENDA,61.104,10.5112,[-3.6 -3.8 -2.7 ... -2.6 -3.2 -4.4]
125,TROLLEDALSEGGA,61.8902,6.1065,[-5.3 -4.8 -5.1 ... -8.1 -7.7 -7.6]
126,AUSTEVOLL,60.0167,5.2038,[3.4 3.5 2.8 ... 0.9 0.8 0.7]
127,SARPSBORG,59.2850933,11.1127995,[-1.4 -1.4 -1.6 ...  0.3 -0.2 -0.6]
128,HJELMELAND,59.23,6.1498,[ 5.2  4.9  4.6 ...  1.7  0.4 -0.2]
129,RYGGE,59.3742,10.798,[-3.4 -2.7 -2.7 ...  1.7  1.3 -2.2]
130,OSLO - LAMBERTSETER,59.8775,10.8185,[4.4 3.7 3.1 ... 0.  0.  0. ]
131,NORDLI - SANDVIKA,64.4595,13.5978,[-7.3 -7.3 -7.5 ... -2.7 -3.5 -3.4]
132,SANDNESSJØEN LH - STOKKA,65.9635,12.4785,[-2.2 -2.6 -2.6 ...  1.7  1.6  1.9]
133,FEDJE,60.7525,4.715,[4.7 4.  3.6 ... 2.8 2.7 1.7]
134,TORSVÅG FYR,70.2452,19.4997,[0.1 0.1 0.  ... 3.1 3.  2.6]
135,ADVENTDALEN,78.2022,15.831,[-12.7 -11.9 -13.1 ...   0.5   0.6   0.3]
136,SORTLAND - KLEIVA,68.6481059,15.2832298,[-5.7 -5.1 -4.4 ...  1.9  0.7  1.5]
137,BYGLANDSFJORD - NESET,58.6863,7.803,[ 0.5  0.3 -0.4 ... -0.7 -1.  -1.2]
