,Navn,Latitude,Longitude,Lufttemperatur
0,STADLANDET,62.1467,5.2115,[-1.1 -1.1 -1.5 ...  0.9  0.9  0.5]
1,OSLO - HAUGENSTUA,59.9535,10.9035,[-1.6 -1.9 -2.1 ...  0.   0.   0. ]
2,MYKLEBUSTFJELLET,61.6788,5.2007,[-2.2 -1.8 -2.  ... -5.2 -5.5 -5.7]
3,KVADEHUKEN II,78.9633,11.3475,[-10.8 -11.1 -10.6 ...   0.4  -0.3  -0.5]
4,OSLO - BLINDERN,59.9423,10.72,[-2.2 -1.7 -1.4 ... -1.2 -1.5 -1.6]
5,ANDØYA,69.3073,16.1312,[-0.6 -0.6 -2.6 ...  1.9  2.5  2.4]
6,VALLE,59.1972,7.5273,[ 6.1  5.7  0.7 ... -3.4 -4.1 -4. ]
7,NORD-ODAL,60.3882026,11.5590577,[-4.6 -5.2 -8.2 ... -1.8 -2.2 -2.9]
8,REIPÅ,66.9035,13.646,[ -9.3 -10.2 -11.3 ...   4.    3.8   3.1]
9,HVALER - BREKKE,59.0418843,11.0321464,[6.7 6.3 6.8 ... 0.  0.  0. ]
10,SANDE - GALLEBERG,59.6193334,10.2150378,[-3.3 -2.5 -2.6 ... -3.1 -3.1 -3.2]
11,DRAMMEN - BERSKOG,59.7538274,10.1206179,[-6.8 -5.4 -5.5 ... -3.2 -3.7 -3. ]
12,VÅLE,59.4109629,10.2799816,[12.1 11.4 11.  ...  0.   0.   0. ]
13,BJORLI,62.2583,8.2,[ -7.6  -6.6  -7.1 ...  -7.6  -9.6 -11.8]
14,DRAG - AJLUOKTA,68.0484437,16.0828758,[-12.  -13.1 -11.6 ...   2.3   1.5   1.5]
15,BIRTAVARRE - HOLMEN,69.4802,20.8693,[-5.9 -5.  -4.6 ...  1.1  0.6  1.2]
